exp_id,epoch,train_loss,val_loss,train_acc,val_acc
1,1,0.686586025554234,0.6739682796153617,0.5012,0.6338666666666667
1,2,0.6633246875266785,0.6456619579741295,0.4976,0.6570666666666667
1,3,0.6334556032345493,0.6182246507482326,0.5028666666666667,0.6970666666666666
1,4,0.6115123826557639,0.5996463554970761,0.49866666666666665,0.6985333333333333
1,5,0.5933065635563214,0.5847216129302979,0.4958666666666667,0.6982666666666667
1,6,0.5806676483611817,0.5694669712097087,0.5054,0.7142666666666667
1,7,0.5695854466734156,0.5585922245015489,0.5038,0.7237333333333333
1,8,0.5618776419142416,0.5511340251628388,0.4948666666666667,0.7284
1,9,0.5556036026747242,0.5527994157151973,0.5042,0.7233333333333334
1,10,0.5488278910295287,0.5427065680635736,0.4984,0.734
1,11,0.5437191691098691,0.5351227970833474,0.5068666666666667,0.7392
1,12,0.5388690904259428,0.531557548680204,0.5057333333333334,0.7409333333333333
1,13,0.534176931897206,0.5317693535317766,0.5018666666666667,0.7398666666666667
1,14,0.5317461519861526,0.5265082232495572,0.5000666666666667,0.7429333333333333
1,15,0.5333250996781819,0.523542194924456,0.4968,0.7468
1,16,0.5298069829879793,0.5242555992400393,0.49706666666666666,0.7477333333333334
1,17,0.5274017232059162,0.5206172085822897,0.5038,0.7472
1,18,0.525982651247907,0.5218493102712835,0.5048,0.7485333333333334
1,19,0.5259926789350855,0.5201770341142695,0.49746666666666667,0.7482666666666666
1,20,0.525512783575668,0.5198654475364279,0.5064666666666666,0.7477333333333334
2,1,0.684367826451426,0.6668418435340232,0.50076,0.6269333333333333
2,2,0.651379367427143,0.6304269940295117,0.49856,0.6598666666666667
2,3,0.6133666346826212,0.5934743419606635,0.49788,0.7
2,4,0.5864371628788732,0.5693695801369687,0.50068,0.7205333333333334
2,5,0.5656887417864007,0.5494367584269098,0.50312,0.7337333333333333
2,6,0.5523887444335176,0.5378464149667862,0.4956,0.7389333333333333
2,7,0.5414615001367487,0.526517046385623,0.49452,0.7456
